type,aux info,tag used,org_type,old_label
NON_RES,non_residential_auxiliary,landuse:military,NON_RES,ID_COBER=851 | CODE_ABREV=EAI | DESC_COBER=Administrativo Institucional | SIOSE_CODE=EAI(30SNE_25VAP_20EDFea_20ZAU_05OCT)
NON_RES,non_residential_auxiliary,landuse:military,NON_RES,ID_COBER=851 | CODE_ABREV=EAI | DESC_COBER=Administrativo Institucional | SIOSE_CODE=EAI(30SNE_25VAP_20EDFea_20ZAU_05OCT)
NON_RES,non_residential_auxiliary,landuse:military,NON_RES,ID_COBER=851 | CODE_ABREV=EAI | DESC_COBER=Administrativo Institucional | SIOSE_CODE=EAI(30SNE_25VAP_20EDFea_20ZAU_05OCT)
NON_RES,non_residential_auxiliary,landuse:military,NON_RES,ID_COBER=851 | CODE_ABREV=EAI | DESC_COBER=Administrativo Institucional | SIOSE_CODE=EAI(30SNE_25VAP_20EDFea_20ZAU_05OCT)
NON_RES,non_residential_auxiliary_generic_tag,leisure:stadium,NON_RES,ID_COBER=858 | CODE_ABREV=EDP | DESC_COBER=Deportivo | SIOSE_CODE=EDP(45ZAU_25VAP_15EDFea_10SNE_05LAA)
NON_RES,non_residential_auxiliary_generic_tag,leisure:stadium,NON_RES,ID_COBER=858 | CODE_ABREV=EDP | DESC_COBER=Deportivo | SIOSE_CODE=EDP(45ZAU_25VAP_15EDFea_10SNE_05LAA)
NON_RES,non_residential_auxiliary_generic_tag,leisure:sports_centre,NON_RES,ID_COBER=858 | CODE_ABREV=EDP | DESC_COBER=Deportivo | SIOSE_CODE=EDP(45ZAU_25VAP_15EDFea_10SNE_05LAA)
NON_RES,non_residential_auxiliary_generic_tag,leisure:sports_centre,NON_RES,ID_COBER=858 | CODE_ABREV=EDP | DESC_COBER=Deportivo | SIOSE_CODE=EDP(45ZAU_25VAP_15EDFea_10SNE_05LAA)
NON_RES,non_residential_auxiliary,landuse:education,NON_RES,ID_COBER=858 | CODE_ABREV=EDP | DESC_COBER=Deportivo | SIOSE_CODE=EDP(40OCT_35EDFea_25VAP)
RES,residential_auxiliary,landuse:residential,RES,ID_COBER=812 | CODE_ABREV=UEN | DESC_COBER=Ensanche | SIOSE_CODE=UEN(90EDFem_10VAP)
NON_RES,non_residential_auxiliary_generic_tag,brand:lidl,NON_RES,ID_COBER=841 | CODE_ABREV=TCO | DESC_COBER=Comercial y Oficinas | SIOSE_CODE=TCO(70EDFea_30VAP)
RES,residential_auxiliary,landuse:residential,NON_RES,ID_COBER=854 | CODE_ABREV=EDU | DESC_COBER=Educación | SIOSE_CODE=EDU(40OCT_20EDFea_15ZAU_15VAP_10SNE)
RES,residential_auxiliary,landuse:residential,RES,ID_COBER=812 | CODE_ABREV=UEN | DESC_COBER=Ensanche | SIOSE_CODE=UEN(70EDFem_13SNE_10VAP_05ZAU_02LAA)
RES,residential_auxiliary,landuse:residential,RES,ID_COBER=812 | CODE_ABREV=UEN | DESC_COBER=Ensanche | SIOSE_CODE=UEN(70EDFem_13SNE_10VAP_05ZAU_02LAA)
RES,residential_auxiliary,landuse:residential,RES,ID_COBER=812 | CODE_ABREV=UEN | DESC_COBER=Ensanche | SIOSE_CODE=UEN(70EDFem_13SNE_10VAP_05ZAU_02LAA)
RES,residential_auxiliary,landuse:residential,RES,ID_COBER=812 | CODE_ABREV=UEN | DESC_COBER=Ensanche | SIOSE_CODE=UEN(70EDFem_13SNE_10VAP_05ZAU_02LAA)
NON_RES,non_residential_auxiliary_generic_tag,shop:computer,RES,ID_COBER=812 | CODE_ABREV=UEN | DESC_COBER=Ensanche | SIOSE_CODE=UEN(70EDFem_13SNE_10VAP_05ZAU_02LAA)
